DATA,,,,,,,
key,data,,,,,,
token_name,Aurory,,,,,,
token_symbol,AURY,,,,,,
start_date,25/10/2021,,,,,,
start_tokens,100000000,,,,,,
emission_schedule,30D,,,,,,
emission_type,inflationary,,,,,,
emission_incentive,p2e,,,,,,
DISTRIBUTION,,,,,,,
entity,Public Sale,Seed,Liquidity,Treasury,Ecosystem,Team,P2E
descriptor,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum
address,0xABCD....1234,0xABCD....1235,0xABCD....1236,0xABCD....1237,0xABCD....1238,0xABCD....1239,0xABCD....1240
type,percentage,percentage,percentage,percentage,percentage,percentage,inflationary
group,public,investors,ecosystem,foundation,ecosystem,team_advisors,ecosystem
emission,unlock,unlock,unlock,unlock,unlock,unlock,staking
allocation,7.00,18.00,4.00,24.00,7.00,15.00,25.00
t000,7.00,0.00,4.00,0.00,0.00,0.00,0.00
t001,7.00,0.00,4.00,0.00,0.10,0.00,0.00
t002,7.00,0.00,4.00,0.00,0.19,0.00,0.00
t003,7.00,0.00,4.00,0.00,0.29,0.00,0.36
t004,7.00,3.00,4.00,0.00,0.39,0.00,0.71
t005,7.00,3.75,4.00,0.00,0.49,0.00,1.07
t006,7.00,4.50,4.00,0.00,0.58,0.00,1.43
t007,7.00,5.25,4.00,4.67,0.68,2.19,1.79
t008,7.00,6.00,4.00,5.33,0.78,2.50,2.14
t009,7.00,6.75,4.00,6.00,0.88,2.81,2.50
t010,7.00,7.50,4.00,6.67,0.97,3.13,2.86
t011,7.00,8.25,4.00,7.33,1.07,3.44,3.21
t012,7.00,9.00,4.00,8.00,1.17,3.75,3.57
t013,7.00,9.75,4.00,8.67,1.26,4.06,3.93
t014,7.00,10.50,4.00,9.33,1.36,4.38,4.29
t015,7.00,11.25,4.00,10.00,1.46,4.69,4.64
t016,7.00,12.00,4.00,10.67,1.56,5.00,5.00
t017,7.00,12.75,4.00,11.33,1.65,5.31,5.36
t018,7.00,13.50,4.00,12.00,1.75,5.63,5.71
t019,7.00,14.25,4.00,12.67,1.85,5.94,6.07
t020,7.00,15.00,4.00,13.33,1.94,6.25,6.43
t021,7.00,15.75,4.00,14.00,2.04,6.56,6.79
t022,7.00,16.50,4.00,14.67,2.14,6.88,7.14
t023,7.00,17.25,4.00,15.33,2.24,7.19,7.50
t024,7.00,18.00,4.00,16.00,2.33,7.50,7.86
t025,7.00,18.00,4.00,16.67,2.43,7.81,8.21
t026,7.00,18.00,4.00,17.33,2.53,8.13,8.57
t027,7.00,18.00,4.00,18.00,2.63,8.44,8.93
t028,7.00,18.00,4.00,18.67,2.72,8.75,9.29
t029,7.00,18.00,4.00,19.33,2.82,9.06,9.64
t030,7.00,18.00,4.00,20.00,2.92,9.38,10.00
t031,7.00,18.00,4.00,20.67,3.01,9.69,10.36
t032,7.00,18.00,4.00,21.33,3.11,10.00,10.71
t033,7.00,18.00,4.00,22.00,3.21,10.31,11.07
t034,7.00,18.00,4.00,22.67,3.31,10.63,11.43
t035,7.00,18.00,4.00,23.33,3.40,10.94,11.79
t036,7.00,18.00,4.00,24.00,3.50,11.25,12.14
t037,7.00,18.00,4.00,24.00,3.60,11.56,12.50
t038,7.00,18.00,4.00,24.00,3.69,11.88,12.86
t039,7.00,18.00,4.00,24.00,3.79,12.19,13.21
t040,7.00,18.00,4.00,24.00,3.89,12.50,13.57
t041,7.00,18.00,4.00,24.00,3.99,12.81,13.93
t042,7.00,18.00,4.00,24.00,4.08,13.13,14.29
t043,7.00,18.00,4.00,24.00,4.18,13.44,14.64
t044,7.00,18.00,4.00,24.00,4.28,13.75,15.00
t045,7.00,18.00,4.00,24.00,4.38,14.06,15.36
t046,7.00,18.00,4.00,24.00,4.47,14.38,15.71
t047,7.00,18.00,4.00,24.00,4.57,14.69,16.07
t048,7.00,18.00,4.00,24.00,4.67,15.00,16.43
t049,7.00,18.00,4.00,24.00,4.76,15.00,16.79
t050,7.00,18.00,4.00,24.00,4.86,15.00,17.14
t051,7.00,18.00,4.00,24.00,4.96,15.00,17.50
t052,7.00,18.00,4.00,24.00,5.06,15.00,17.86
t053,7.00,18.00,4.00,24.00,5.15,15.00,18.21
t054,7.00,18.00,4.00,24.00,5.25,15.00,18.57
t055,7.00,18.00,4.00,24.00,5.35,15.00,18.93
t056,7.00,18.00,4.00,24.00,5.44,15.00,19.29
t057,7.00,18.00,4.00,24.00,5.54,15.00,19.64
t058,7.00,18.00,4.00,24.00,5.64,15.00,20.00
t059,7.00,18.00,4.00,24.00,5.74,15.00,20.36
t060,7.00,18.00,4.00,24.00,5.83,15.00,20.71
t061,7.00,18.00,4.00,24.00,5.93,15.00,21.07
t062,7.00,18.00,4.00,24.00,6.03,15.00,21.43
t063,7.00,18.00,4.00,24.00,6.13,15.00,21.79
t064,7.00,18.00,4.00,24.00,6.22,15.00,22.14
t065,7.00,18.00,4.00,24.00,6.32,15.00,22.50
t066,7.00,18.00,4.00,24.00,6.42,15.00,22.86
t067,7.00,18.00,4.00,24.00,6.51,15.00,23.21
t068,7.00,18.00,4.00,24.00,6.61,15.00,23.57
t069,7.00,18.00,4.00,24.00,6.71,15.00,23.93
t070,7.00,18.00,4.00,24.00,6.81,15.00,24.29
t071,7.00,18.00,4.00,24.00,6.90,15.00,24.64
t072,7.00,18.00,4.00,24.00,7.00,15.00,25.00