date,presale,private sale,public sale,team,advisors,foundation,partnership incetinves,Bounties/airdrop,staking
01/04/2018,2318323.643,44154738.82,7061560.523,0,0,2051849.661,5142947.853,3091098.191,0
01/05/2018,2318323.643,44154738.82,7061560.523,0,0,2051849.661,5142947.853,3091098.191,0
01/06/2018,2318323.643,44154738.82,7061560.523,0,0,2051849.661,5142947.853,3091098.191,0
01/07/2018,2318323.643,45913467.1,7567861.089,2318323.643,506300.5658,4609999.889,5142947.853,3091098.191,0
01/08/2018,2318323.643,45913467.1,7567861.089,2318323.643,506300.5658,4609999.889,5142947.853,3091098.191,0
01/09/2018,2318323.643,47672195.38,7834335.071,4609999.889,1039248.53,7194797.514,5142947.853,3091098.191,0
01/10/2018,2318323.643,47672195.38,7834335.071,4609999.889,1039248.53,7194797.514,5142947.853,3091098.191,0
01/11/2018,2318323.643,47672195.38,7834335.071,4609999.889,1039248.53,7194797.514,5142947.853,3091098.191,0
01/12/2018,2318323.643,49404276.26,7914277.265,6928323.532,1545549.096,9752947.741,5142947.853,3091098.191,0
01/01/2019,2318323.643,49404276.26,7914277.265,6928323.532,1545549.096,9752947.741,5142947.853,3091098.191,0
01/02/2019,2318323.643,49404276.26,7914277.265,6928323.532,1545549.096,9752947.741,5142947.853,3091098.191,0
01/03/2019,2318323.643,51163004.54,8020866.858,9246647.175,2051849.661,12311097.97,5142947.853,3091098.191,0
01/04/2019,2318323.643,51163004.54,8020866.858,9246647.175,2051849.661,12311097.97,5142947.853,3091098.191,0
01/05/2019,2318323.643,51163004.54,8020866.858,9246647.175,2051849.661,12311097.97,5142947.853,3091098.191,0
01/06/2019,2318323.643,51163004.54,8074161.655,11538323.42,2051849.661,12311097.97,5142947.853,3091098.191,0
01/07/2019,2318323.643,51163004.54,8074161.655,11538323.42,2051849.661,12311097.97,5142947.853,3091098.191,0
01/08/2019,2318323.643,51163004.54,8074161.655,11538323.42,2051849.661,12311097.97,5142947.853,3091098.191,0
01/09/2019,2318323.643,51163004.54,8127456.451,13856647.06,2051849.661,12311097.97,5142947.853,3091098.191,0
01/10/2019,2318323.643,51163004.54,8127456.451,13856647.06,2051849.661,12311097.97,5142947.853,3091098.191,0
01/11/2019,2318323.643,51163004.54,8127456.451,13856647.06,2051849.661,12311097.97,5142947.853,3091098.191,0
01/12/2019,2318323.643,51163004.54,8127456.451,16174970.71,2051849.661,12311097.97,5142947.853,3091098.191,0
01/01/2020,2318323.643,51163004.54,8127456.451,16174970.71,2051849.661,12311097.97,5142947.853,3091098.191,0
01/02/2020,2318323.643,51163004.54,8127456.451,16174970.71,2051849.661,12311097.97,5142947.853,3091098.191,0
01/03/2020,2318323.643,51163004.54,8127456.451,18466646.95,2051849.661,12311097.97,5142947.853,3091098.191,0
01/04/2020,2318323.643,51163004.54,8127456.451,18466646.95,2051849.661,12311097.97,5142947.853,3091098.191,0
01/05/2020,2318323.643,51163004.54,8127456.451,18466646.95,2051849.661,12311097.97,5142947.853,3091098.191,0
01/06/2020,2318323.643,51163004.54,8127456.451,26167745.03,2051849.661,12311097.97,5142947.853,3091098.191,13696762.67
01/07/2020,2318323.643,51163004.54,8127456.451,26167745.03,2051849.661,12311097.97,5142947.853,3091098.191,19079537.11
01/08/2020,2318323.643,51163004.54,8127456.451,26167745.03,2051849.661,12311097.97,5142947.853,3091098.191,24462311.55
01/09/2020,2318323.643,51163004.54,8127456.451,33868843.11,2051849.661,12311097.97,5142947.853,3091098.191,29845085.98
01/10/2020,2318323.643,51163004.54,8127456.451,33868843.11,2051849.661,12311097.97,5142947.853,3091098.191,35227860.42
01/11/2020,2318323.643,51163004.54,8127456.451,33868843.11,2051849.661,12311097.97,5142947.853,3091098.191,40610634.86
01/12/2020,2318323.643,51163004.54,8127456.451,41569941.19,2051849.661,12311097.97,5142947.853,3091098.191,45700287.91
01/01/2021,2318323.643,51163004.54,8127456.451,41569941.19,2051849.661,12311097.97,5142947.853,3091098.191,50390230
01/02/2021,2318323.643,51163004.54,8127456.451,41569941.19,2051849.661,12311097.97,5142947.853,3091098.191,54733755.9
01/03/2021,2318323.643,51163004.54,8127456.451,49271039.27,2051849.661,12311097.97,5142947.853,3091098.191,58757513.03
01/04/2021,2318323.643,51163004.54,8127456.451,49271039.27,2051849.661,12311097.97,5142947.853,3091098.191,62488148.78